Stride, Time_us, Ratio
2, 923, 0.985
3, 942, 1.005
4, 927, 0.989
5, 936, 0.999
6, 950, 1.014
7, 944, 1.007
8, 975, 1.041
9, 1029, 1.098
10, 1149, 1.226
11, 1131, 1.207
12, 1070, 1.142
13, 1033, 1.102
14, 1405, 1.499
15, 1224, 1.306
16, 1304, 1.392
17, 1809, 1.931
18, 1287, 1.374
19, 1383, 1.476
20, 1386, 1.479
21, 1531, 1.634
22, 1538, 1.641
23, 1453, 1.551
24, 1766, 1.885
25, 1694, 1.808
26, 1853, 1.978
27, 2779, 2.966
28, 2024, 2.160
29, 2098, 2.239
30, 2304, 2.459
31, 2422, 2.585
32, 3361, 3.587
33, 4163, 4.443
34, 3426, 3.656
35, 3366, 3.592
36, 3366, 3.592
37, 3675, 3.922
38, 3623, 3.867
39, 3552, 3.791
40, 4013, 4.283
41, 3993, 4.261
42, 4328, 4.619
43, 3531, 3.768
44, 3783, 4.037
45, 3490, 3.725
46, 4670, 4.984
47, 3677, 3.924
48, 3650, 3.895
49, 3553, 3.792
50, 4783, 5.105
51, 3842, 4.100
52, 4279, 4.567
53, 3886, 4.147
54, 4366, 4.660
55, 3958, 4.224
56, 3926, 4.190
57, 4275, 4.562
58, 4443, 4.742
59, 3995, 4.264
60, 4158, 4.438
61, 4173, 4.454
62, 4317, 4.607
63, 3769, 4.022

Stride, Time_us, Ratio
2, 978, 0.999
3, 1002, 1.023
4, 963, 0.984
5, 953, 0.973
6, 944, 0.964
7, 1051, 1.074
8, 1164, 1.189
9, 1102, 1.126
10, 959, 0.980
11, 1409, 1.439
12, 996, 1.017
13, 995, 1.016
14, 1217, 1.243
15, 1184, 1.209
16, 1237, 1.264
17, 1357, 1.386
18, 1505, 1.537
19, 1882, 1.922
20, 1449, 1.480
21, 1576, 1.610
22, 1912, 1.953
23, 1836, 1.875
24, 1652, 1.687
25, 1740, 1.777
26, 2265, 2.314
27, 2198, 2.245
28, 2515, 2.569
29, 2282, 2.331
30, 2197, 2.244
31, 2409, 2.461
32, 3317, 3.388
33, 3627, 3.705
34, 3318, 3.389
35, 3327, 3.398
36, 3963, 4.048
37, 4359, 4.453
38, 4237, 4.328
39, 3899, 3.983
40, 4286, 4.378
41, 3919, 4.003
42, 4234, 4.325
43, 3735, 3.815
44, 4144, 4.233
45, 3917, 4.001
46, 4278, 4.370
47, 3818, 3.900
48, 3718, 3.798
49, 3813, 3.895
50, 4978, 5.085
51, 3953, 4.038
52, 4559, 4.657
53, 4157, 4.246
54, 4929, 5.035
55, 4358, 4.451
56, 4769, 4.871
57, 5116, 5.226
58, 4416, 4.511
59, 4546, 4.644
60, 4472, 4.568
61, 5226, 5.338
62, 4730, 4.831
63, 4332, 4.425
