Stride, Time_us, Ratio
2, 159, 1.187
3, 211, 1.575
4, 239, 1.784
5, 303, 2.261
6, 364, 2.716
7, 483, 3.604
8, 616, 4.597
9, 567, 4.231
10, 635, 4.739
11, 732, 5.463
12, 801, 5.978
13, 997, 7.440
14, 977, 7.291
15, 982, 7.328
16, 1037, 7.739
17, 1179, 8.799
18, 1195, 8.918
19, 1344, 10.030
20, 1317, 9.828
21, 1451, 10.828
22, 1536, 11.463
23, 1809, 13.500
24, 1833, 13.679
25, 1897, 14.157
26, 2189, 16.336
27, 1884, 14.060
28, 1961, 14.634
29, 2099, 15.664
30, 2248, 16.776
31, 2075, 15.485
32, 3336, 24.896
33, 3127, 23.336
34, 3182, 23.746
35, 3239, 24.172
36, 3795, 28.321
37, 4323, 32.261
38, 3854, 28.761
39, 3961, 29.560
40, 3966, 29.597
41, 3824, 28.537
42, 3562, 26.582
43, 3572, 26.657
44, 3577, 26.694
45, 3391, 25.306
46, 4513, 33.679
47, 3577, 26.694
48, 3342, 24.940
49, 3491, 26.052
50, 4136, 30.866
51, 3679, 27.455
52, 4102, 30.612
53, 4090, 30.522
54, 4732, 35.313
55, 4067, 30.351
56, 4324, 32.269
57, 4240, 31.642
58, 5003, 37.336
59, 4046, 30.194
60, 4356, 32.507
61, 4054, 30.254
62, 4479, 33.425
63, 3729, 27.828

Stride, Time_us, Ratio
2, 165, 1.222
3, 233, 1.726
4, 248, 1.837
5, 333, 2.467
6, 377, 2.793
7, 434, 3.215
8, 527, 3.904
9, 567, 4.200
10, 657, 4.867
11, 744, 5.511
12, 767, 5.681
13, 1010, 7.481
14, 1113, 8.244
15, 1301, 9.637
16, 1535, 11.370
17, 1541, 11.415
18, 1983, 14.689
19, 1280, 9.481
20, 1459, 10.807
21, 1717, 12.719
22, 1689, 12.511
23, 1553, 11.504
24, 1582, 11.719
25, 1905, 14.111
26, 2230, 16.519
27, 2435, 18.037
28, 2003, 14.837
29, 1938, 14.356
30, 1986, 14.711
31, 2128, 15.763
32, 2855, 21.148
33, 3374, 24.993
34, 2999, 22.215
35, 2993, 22.170
36, 3164, 23.437
37, 3453, 25.578
38, 3853, 28.541
39, 3771, 27.933
40, 3744, 27.733
41, 3899, 28.881
42, 3659, 27.104
43, 3946, 29.230
44, 3251, 24.081
45, 3833, 28.393
46, 3560, 26.370
47, 4204, 31.141
48, 3278, 24.281
49, 3703, 27.430
50, 3998, 29.615
51, 4116, 30.489
52, 4163, 30.837
53, 4222, 31.274
54, 4319, 31.993
55, 4571, 33.859
56, 4366, 32.341
57, 4648, 34.430
58, 4306, 31.896
59, 4900, 36.296
60, 4373, 32.393
61, 4742, 35.126
62, 4365, 32.333
63, 4836, 35.822
