Stride, Time_us, Ratio
2, 367, 3.430
3, 386, 3.607
4, 398, 3.720
5, 456, 4.262
6, 671, 6.271
7, 917, 8.570
8, 918, 8.579
9, 995, 9.299
10, 1416, 13.234
11, 1536, 14.355
12, 1486, 13.888
13, 2468, 23.065
14, 1723, 16.103
15, 1492, 13.944
16, 1597, 14.925
17, 2057, 19.224
18, 1838, 17.178
19, 1917, 17.916
20, 2520, 23.551
21, 2595, 24.252
22, 2489, 23.262
23, 2694, 25.178
24, 3414, 31.907
25, 2740, 25.607
26, 2681, 25.056
27, 2927, 27.355
28, 3425, 32.009
29, 3942, 36.841
30, 3257, 30.439
31, 3893, 36.383
32, 4647, 43.430
33, 5236, 48.935
34, 4705, 43.972
35, 5304, 49.570
36, 5943, 55.542
37, 5302, 49.551
38, 5366, 50.150
39, 5631, 52.626
40, 5227, 48.850
41, 5296, 49.495
42, 5964, 55.738
43, 5377, 50.252
44, 5364, 50.131
45, 5892, 55.065
46, 5346, 49.963
47, 5533, 51.710
48, 5434, 50.785
49, 5632, 52.636
50, 5621, 52.533
51, 6350, 59.346
52, 5538, 51.757
53, 5914, 55.271
54, 6259, 58.495
55, 6111, 57.112
56, 5672, 53.009
57, 6589, 61.579
58, 5839, 54.570
59, 6680, 62.430
60, 5763, 53.860
61, 6048, 56.523
62, 6236, 58.280
63, 5778, 54.000

Stride, Time_us, Ratio
2, 324, 3.208
3, 342, 3.386
4, 363, 3.594
5, 376, 3.723
6, 549, 5.436
7, 730, 7.228
8, 839, 8.307
9, 932, 9.228
10, 1034, 10.238
11, 1347, 13.337
12, 1315, 13.020
13, 1563, 15.475
14, 2108, 20.871
15, 2013, 19.931
16, 1551, 15.356
17, 1631, 16.149
18, 2281, 22.584
19, 2670, 26.436
20, 2111, 20.901
21, 2037, 20.168
22, 2190, 21.683
23, 2835, 28.069
24, 2361, 23.376
25, 2925, 28.960
26, 3352, 33.188
27, 2950, 29.208
28, 2800, 27.723
29, 2946, 29.168
30, 4198, 41.564
31, 4176, 41.347
32, 4162, 41.208
33, 4738, 46.911
34, 4694, 46.475
35, 4530, 44.851
36, 4826, 47.782
37, 5612, 55.564
38, 5602, 55.465
39, 4963, 49.139
40, 5354, 53.010
41, 5520, 54.653
42, 4918, 48.693
43, 5205, 51.535
44, 5223, 51.713
45, 4960, 49.109
46, 5193, 51.416
47, 5785, 57.277
48, 4671, 46.248
49, 5282, 52.297
50, 5701, 56.446
51, 5393, 53.396
52, 5567, 55.119
53, 5694, 56.376
54, 5624, 55.683
55, 5456, 54.020
56, 5868, 58.099
57, 5685, 56.287
58, 5709, 56.525
59, 5867, 58.089
60, 5700, 56.436
61, 5797, 57.396
62, 5923, 58.644
63, 5297, 52.446

Stride, Time_us, Ratio
2, 331, 3.559
3, 366, 3.935
4, 440, 4.731
5, 428, 4.602
6, 537, 5.774
7, 683, 7.344
8, 810, 8.710
9, 1054, 11.333
10, 1245, 13.387
11, 1381, 14.849
12, 1203, 12.935
13, 1833, 19.710
14, 1464, 15.742
15, 1599, 17.194
16, 1482, 15.935
17, 1594, 17.140
18, 1972, 21.204
19, 1843, 19.817
20, 2088, 22.452
21, 2472, 26.581
22, 2229, 23.968
23, 2679, 28.806
24, 2939, 31.602
25, 3085, 33.172
26, 2819, 30.312
27, 3051, 32.806
28, 3452, 37.118
29, 3615, 38.871
30, 3298, 35.462
31, 3326, 35.763
32, 4555, 48.978
33, 5471, 58.828
34, 4516, 48.559
35, 4859, 52.247
36, 5112, 54.968
37, 5134, 55.204
38, 5419, 58.269
39, 5012, 53.892
40, 5546, 59.634
41, 5282, 56.796
42, 5073, 54.548
43, 5330, 57.312
44, 4904, 52.731
45, 5112, 54.968
46, 5594, 60.151
47, 5156, 55.441
48, 5040, 54.194
49, 5062, 54.430
50, 4999, 53.753
51, 5125, 55.108
52, 5488, 59.011
53, 5197, 55.882
54, 5778, 62.129
55, 5868, 63.097
56, 5417, 58.247
57, 5567, 59.860
58, 5445, 58.548
59, 5284, 56.817
60, 5625, 60.484
61, 5360, 57.634
62, 5388, 57.935
63, 4892, 52.602

Stride, Time_us, Ratio
2, 371, 3.171
3, 400, 3.419
4, 364, 3.111
5, 455, 3.889
6, 538, 4.598
7, 783, 6.692
8, 870, 7.436
9, 967, 8.265
10, 1273, 10.880
11, 1398, 11.949
12, 1320, 11.282
13, 1772, 15.145
14, 1641, 14.026
15, 1552, 13.265
16, 1662, 14.205
17, 2365, 20.214
18, 2058, 17.590
19, 1972, 16.855
20, 2675, 22.863
21, 2541, 21.718
22, 2275, 19.444
23, 2513, 21.479
24, 2674, 22.855
25, 2598, 22.205
26, 3483, 29.769
27, 3166, 27.060
28, 3094, 26.444
29, 3344, 28.581
30, 3972, 33.949
31, 4748, 40.581
32, 4487, 38.350
33, 5119, 43.752
34, 4951, 42.316
35, 4680, 40.000
36, 4970, 42.479
37, 4837, 41.342
38, 5812, 49.675
39, 4946, 42.274
40, 5343, 45.667
41, 5839, 49.906
42, 5079, 43.410
43, 5184, 44.308
44, 5486, 46.889
45, 5133, 43.872
46, 5290, 45.214
47, 5713, 48.829
48, 4766, 40.735
49, 5397, 46.128
50, 6040, 51.624
51, 5343, 45.667
52, 5812, 49.675
53, 5940, 50.769
54, 5356, 45.778
55, 5794, 49.521
56, 6069, 51.872
57, 5535, 47.308
58, 6316, 53.983
59, 6293, 53.786
60, 5830, 49.829
61, 5781, 49.410
62, 5902, 50.444
63, 5556, 47.487
