Stride, Time_us, Ratio
2, 709, 1.615
3, 620, 1.412
4, 681, 1.551
5, 742, 1.690
6, 838, 1.909
7, 927, 2.112
8, 1159, 2.640
9, 1264, 2.879
10, 1284, 2.925
11, 1468, 3.344
12, 1630, 3.713
13, 1535, 3.497
14, 1635, 3.724
15, 1773, 4.039
16, 1980, 4.510
17, 2021, 4.604
18, 2474, 5.636
19, 3005, 6.845
20, 2936, 6.688
21, 2535, 5.774
22, 3043, 6.932
23, 3433, 7.820
24, 3002, 6.838
25, 3927, 8.945
26, 3048, 6.943
27, 3197, 7.282
28, 3796, 8.647
29, 4161, 9.478
30, 3938, 8.970
31, 3363, 7.661

Stride, Time_us, Ratio
2, 614, 1.053
3, 599, 1.027
4, 673, 1.154
5, 783, 1.343
6, 944, 1.619
7, 1091, 1.871
8, 1359, 2.331
9, 1320, 2.264
10, 1457, 2.499
11, 1631, 2.798
12, 1400, 2.401
13, 1649, 2.828
14, 1846, 3.166
15, 1841, 3.158
16, 2337, 4.009
17, 2049, 3.515
18, 2182, 3.743
19, 2375, 4.074
20, 2796, 4.796
21, 3700, 6.346
22, 2918, 5.005
23, 3157, 5.415
24, 3016, 5.173
25, 3411, 5.851
26, 3125, 5.360
27, 3943, 6.763
28, 3689, 6.328
29, 3868, 6.635
30, 3511, 6.022
31, 4518, 7.750

Stride, Time_us, Ratio
2, 641, 1.623
3, 673, 1.704
4, 728, 1.843
5, 816, 2.066
6, 1044, 2.643
7, 1164, 2.947
8, 1702, 4.309
9, 1275, 3.228
10, 1372, 3.473
11, 1477, 3.739
12, 1760, 4.456
13, 1727, 4.372
14, 1878, 4.754
15, 2365, 5.987
16, 2551, 6.458
17, 2360, 5.975
18, 3116, 7.889
19, 2292, 5.803
20, 2565, 6.494
21, 3030, 7.671
22, 2975, 7.532
23, 3544, 8.972
24, 3068, 7.767
25, 3127, 7.916
26, 3396, 8.597
27, 3368, 8.527
28, 3821, 9.673
29, 3619, 9.162
30, 3664, 9.276
31, 3945, 9.987

Stride, Time_us, Ratio
2, 645, 1.518
3, 695, 1.635
4, 830, 1.953
5, 1037, 2.440
6, 1184, 2.786
7, 1420, 3.341
8, 1553, 3.654
9, 1717, 4.040
10, 2176, 5.120
11, 2220, 5.224
12, 1685, 3.965
13, 2141, 5.038
14, 1823, 4.289
15, 2241, 5.273
16, 2147, 5.052
17, 2097, 4.934
18, 2390, 5.624
19, 3082, 7.252
20, 2603, 6.125
21, 2522, 5.934
22, 3282, 7.722
23, 3544, 8.339
24, 3402, 8.005
25, 3334, 7.845
26, 3071, 7.226
27, 3906, 9.191
28, 3369, 7.927
29, 3763, 8.854
30, 3991, 9.391
31, 3933, 9.254
